Student_ID,Study_Hours_Per_Week,Quiz_Score,Assignments_Submitted,Attendance_Percentage,Previous_Grades,Recommended_Study_Material
2314,17.5,73.8,0,86.8,44.1,Advanced Topics
2315,18.3,90.5,6,93.8,79.2,Advanced Topics
2316,17.1,74.5,2,83,68.5,Advanced Topics
2317,19.2,62.4,3,81.3,64.3,Intermediate Practice
2318,11.9,71.2,9,74.7,57.3,Advanced Topics
2319,12.2,85.6,1,90.1,52.8,Advanced Topics
2320,9.5,40.1,0,74.3,68.2,Basic Concepts
2321,17.2,65.7,4,89,70.4,Intermediate Practice
2322,18.9,90.7,5,87.8,97.5,Advanced Topics
2323,17.3,62.3,1,83.6,98.9,Intermediate Practice
2324,23.4,93.2,9,97.1,60,Advanced Topics
2325,15,91.2,5,100,53.6,Advanced Topics
2326,18.3,69,5,63.9,49,Intermediate Practice
2327,9.5,61.5,7,70.1,69.3,Time Management & Practice
2328,13.1,65.7,7,90.8,49.3,Intermediate Practice
2329,18.5,100,5,100,47.3,Advanced Topics
2330,19.2,98.1,6,71.4,57,Advanced Topics
2331,13.5,71.9,3,89.2,58.9,Advanced Topics
2332,14.6,60.9,4,67.5,56.9,Intermediate Practice
2333,7.4,71.8,5,66.5,43.7,Advanced Topics
2334,13.2,73.7,5,100,66.6,Advanced Topics
2335,19.5,51.3,2,88.9,66.4,Intermediate Practice
2336,17.9,71.2,8,69.6,88.1,Advanced Topics
2337,17.5,89.8,3,82.8,49.4,Advanced Topics
2338,15.2,43,7,77.2,75.9,Basic Concepts
2339,15,82.4,3,80.7,94.8,Advanced Topics
2340,11.7,90.6,5,81.9,46.2,Advanced Topics
2341,18.5,61.6,0,87.1,51.6,Intermediate Practice
2342,17.1,95.4,1,89.5,49.1,Advanced Topics
2343,17.5,59.6,5,78.1,74.7,Intermediate Practice
2344,12.4,76.6,2,77.6,74.1,Advanced Topics
2345,4.2,65.4,6,89,82.3,Time Management & Practice
2346,20.5,65.4,0,78.5,69.2,Intermediate Practice
2347,12.6,60.7,2,78.4,95,Intermediate Practice
2348,10.7,80.5,2,86.1,76.1,Advanced Topics
2349,18.5,82.7,0,85.3,86.9,Advanced Topics
2350,13,69,3,80.6,70.3,Intermediate Practice
2351,20.3,49.6,7,95.5,62.2,Basic Concepts
2352,18.1,76,6,89.9,65.3,Advanced Topics
2353,18.4,76.3,6,100,88.6,Advanced Topics
2354,8.2,66.7,4,82.5,79.9,Time Management & Practice
2355,21.1,98,3,92.1,79,Advanced Topics
2356,16.3,46.5,9,99.6,82.9,Basic Concepts
2357,13.2,36.7,5,76.1,72,Basic Concepts
2358,15.7,59,1,81.4,100,Intermediate Practice
2359,6.1,80.7,0,97.3,64.6,Advanced Topics
2360,17,54.2,6,91.7,69.6,Intermediate Practice
2361,9.9,55.3,3,84.8,61.3,Time Management & Practice
2362,8.2,84.3,6,71.2,75.5,Advanced Topics
2363,7.4,76.9,5,72,41.6,Advanced Topics
2364,20.6,75.7,8,80.5,23.6,Advanced Topics
2365,11.9,81.7,9,77,58.3,Advanced Topics
2366,22.7,63.6,5,77.2,76.8,Intermediate Practice
2367,12.3,64.3,2,66.7,83.4,Intermediate Practice
2368,6.5,82.1,6,71.4,49.1,Advanced Topics
2369,9.4,49.8,8,76.2,43,Basic Concepts
2370,21.2,37.9,9,86.2,57.2,Basic Concepts
2371,14.2,63.5,5,81.6,56.9,Intermediate Practice
2372,12.3,84,6,85.6,71.3,Advanced Topics
2373,15.8,73.8,7,85.1,69.9,Advanced Topics
2374,17.5,82.9,3,68,90,Advanced Topics
2375,20.6,39.8,4,95.6,61.8,Basic Concepts
2376,22.2,74.7,3,92.3,48.1,Advanced Topics
2377,13.2,79.8,0,85.4,72.6,Advanced Topics
2378,8.4,49.7,5,79.7,53.5,Basic Concepts
2379,12.9,82.9,6,98.6,53.7,Advanced Topics
2380,16.3,68.3,1,74.8,93.5,Intermediate Practice
2381,10.2,100,5,94.8,82,Advanced Topics
2382,10.2,37.3,1,76.3,61.6,Basic Concepts
2383,16.7,90.5,9,98.2,95.3,Advanced Topics
2384,14.8,64.1,4,89.6,80.4,Intermediate Practice
2385,15.2,45.7,0,94,73.8,Basic Concepts
2386,11.2,62.1,2,87.1,57.8,Intermediate Practice
2387,13.8,74.2,3,89.5,37.1,Advanced Topics
2388,10.4,85.6,3,85.3,55.2,Advanced Topics
2389,19.5,95.8,1,74.8,60.6,Advanced Topics
2390,20.2,91.3,7,95.9,50,Advanced Topics
2391,5.8,55.5,5,82.3,69.9,Time Management & Practice
2392,10.4,87,8,86,37.4,Advanced Topics
2393,7.5,75.9,5,69.1,88,Advanced Topics
2394,11.7,60.2,2,83.2,61.1,Intermediate Practice
2395,14.6,66.8,1,89,79.1,Intermediate Practice
2396,7.8,59.4,8,100,78.9,Time Management & Practice
2397,10.4,70.6,2,84.4,49.5,Advanced Topics
2398,10,59.1,5,81.6,41.9,Intermediate Practice
2399,16,54.6,9,78.4,58.4,Intermediate Practice
2400,15.3,77.2,1,78.7,73.6,Advanced Topics
2401,11.4,79.4,6,100,70,Advanced Topics
2402,15.9,67.2,0,74.4,85.5,Intermediate Practice
2403,12.3,90.5,8,80.9,73.9,Advanced Topics
2404,13.6,66.1,0,99.2,75,Intermediate Practice
2405,23.4,65.5,8,96.5,55.9,Intermediate Practice
2406,21.7,79.9,0,100,64.2,Advanced Topics
2407,8.5,68,0,95.7,64.6,Time Management & Practice
2408,19.1,71.3,7,87.4,77.3,Advanced Topics
2409,19.1,32.2,0,91.2,79.3,Basic Concepts
2410,9.3,70.3,7,74.9,64.5,Advanced Topics
2411,19.1,42.6,2,84,65,Basic Concepts
2412,22.7,51.7,3,75.3,73.3,Intermediate Practice
2413,9.4,50,1,99.3,97,Time Management & Practice
2414,10.4,54.4,5,70.3,41.9,Intermediate Practice
2415,20.1,61.8,6,82.5,54.1,Intermediate Practice
2416,16.4,62.7,9,74.5,54.8,Intermediate Practice
2417,17.8,80,2,95.1,48.3,Advanced Topics
2418,16.7,73.3,8,86.7,56.1,Advanced Topics
2419,17,41.5,2,84.7,73.7,Basic Concepts
2420,8.4,71.2,6,73.2,82.2,Advanced Topics
2421,20.2,74.8,3,99.3,71.5,Advanced Topics
2422,20.8,65.1,4,75.7,71.2,Intermediate Practice
2423,13.9,69.1,8,80.9,54.2,Intermediate Practice
2424,14.8,72.9,2,85,28.1,Advanced Topics
2425,7.3,81.5,2,90.4,73.6,Advanced Topics
2426,17.6,46.4,8,82.1,88,Basic Concepts
2427,17.9,66.3,8,99.4,82.4,Intermediate Practice
2428,14.7,92.6,3,85.6,66.6,Advanced Topics
2429,20.6,91.2,0,100,69.2,Advanced Topics
2430,13.3,82.8,0,75.8,89.1,Advanced Topics
2431,17.8,78.1,8,90.3,57.6,Advanced Topics
2432,9.9,94.8,5,77.6,61.2,Advanced Topics
2433,14.9,98.8,4,83.4,41,Advanced Topics
2434,14.1,68.1,9,71.7,75,Intermediate Practice
2435,16.1,55.5,2,98.7,60.5,Intermediate Practice
2436,13.2,65.9,2,98.7,63.5,Intermediate Practice
2437,14.3,100,1,97.3,78.2,Advanced Topics
2438,19.1,46.5,6,94.6,56.7,Basic Concepts
2439,12.8,62.9,8,100,75.5,Intermediate Practice
2440,7,48.8,5,87.1,76.2,Basic Concepts
2441,23.7,71.9,9,100,62.6,Advanced Topics
2442,21.9,52,0,84.9,80.6,Intermediate Practice
2443,8.5,68.4,5,91.1,66.5,Time Management & Practice
2444,18.4,40.7,7,93.2,78.7,Basic Concepts
2445,12.5,79.3,7,66.9,58.8,Advanced Topics
2446,16.3,88.3,9,83.9,76.8,Advanced Topics
2447,16.5,64.2,2,82.8,62.7,Intermediate Practice
2448,13.8,68,0,84.8,73,Intermediate Practice
2449,11.1,67.5,4,77.8,73.3,Intermediate Practice
2450,11.5,72.7,5,86.7,62,Advanced Topics
2451,10.4,69.4,9,88.6,61.6,Intermediate Practice
2452,10.8,81.5,8,75,64.8,Advanced Topics
2453,14.7,88.5,1,85.4,69.1,Advanced Topics
2454,11.4,57.8,0,82.5,76.6,Intermediate Practice
2455,18.4,65.4,6,97.1,71.6,Intermediate Practice
2456,22.4,83.5,1,90.8,23,Advanced Topics
2457,12.1,48.7,1,77.3,80.8,Basic Concepts
2458,16.2,40.4,2,94.8,74,Basic Concepts
2459,17.5,73.4,3,84.5,85.7,Advanced Topics
2460,17.4,77.4,6,85.6,80.7,Advanced Topics
2461,15.4,59.2,0,75.8,61.7,Intermediate Practice
2462,18.7,61.3,5,87,50.5,Intermediate Practice
2463,17.4,58.6,6,94.4,95.1,Intermediate Practice
2464,8.8,57,2,82.6,87.2,Time Management & Practice
2465,19.3,80.4,2,100,79.2,Advanced Topics
2466,19.4,52.3,1,94,56.1,Intermediate Practice
2467,11.2,66,4,76.7,48.5,Intermediate Practice
2468,15.2,56.4,6,87.6,61.5,Intermediate Practice
2469,18.4,48.2,2,71.2,80.9,Basic Concepts
2470,14,83.1,6,75.3,31.9,Advanced Topics
2471,20.4,62.2,7,67.6,57.1,Intermediate Practice
2472,26.8,72.8,2,68.9,100,Advanced Topics
2473,11.1,47.4,0,82,62.7,Basic Concepts
2474,8.1,58.9,2,83.1,68.6,Time Management & Practice
2475,16.5,81.3,5,87.3,67.6,Advanced Topics
2476,18.6,100,0,76,93.9,Advanced Topics
2477,13.8,40.4,8,93.3,63.2,Basic Concepts
2478,22.3,67,2,82.9,41.1,Intermediate Practice
2479,8.3,76.2,2,88.1,83.5,Advanced Topics
2480,18.5,60.8,6,52.8,52,Intermediate Practice
2481,12,82.7,6,85,45.6,Advanced Topics
2482,23.6,57,5,92.9,90.9,Intermediate Practice
2483,25,72.3,6,62.2,79.1,Advanced Topics
2484,11.2,62.2,4,85.3,62.5,Intermediate Practice
2485,12.3,88.3,7,77.1,85.3,Advanced Topics
2486,19.3,59.9,9,100,82.6,Intermediate Practice
2487,13.1,64.7,1,72.1,57.8,Intermediate Practice
2488,14.8,84.2,4,100,70.9,Advanced Topics
2489,15.1,54.6,8,97.9,66.4,Intermediate Practice
2490,5.4,71,3,86.1,58,Advanced Topics
2491,14.9,42.7,7,70.6,68.7,Basic Concepts
2492,11.6,53.7,2,80.4,79.5,Intermediate Practice
2493,12.5,75.7,5,91.9,54,Advanced Topics
2494,22.2,55.1,7,86.1,80.3,Intermediate Practice
2495,8.7,61.8,8,74,40.1,Time Management & Practice
2496,19.1,77.4,6,96.1,71.3,Advanced Topics
2497,13.6,61.3,5,84,57,Intermediate Practice
2498,13.6,82.3,5,87.8,91.7,Advanced Topics
2499,19,73.2,5,94.9,43.8,Advanced Topics
2500,16.7,76.5,9,93.8,64.4,Advanced Topics
2501,17.9,88.6,8,95.8,55.5,Advanced Topics
2502,19.8,74.8,2,92,59.5,Advanced Topics
2503,13.3,93.1,3,78.3,50.9,Advanced Topics
2504,11.9,83.7,2,84.6,70.6,Advanced Topics
2505,9.6,62.1,8,98.5,71.4,Time Management & Practice
2506,10.9,89.4,4,71.5,42.1,Advanced Topics
2507,29.7,74,9,73.7,77.3,Advanced Topics
2508,21.2,64.1,7,90.4,44.2,Intermediate Practice
2509,8.2,74.2,7,84.1,68.4,Advanced Topics
2510,8.4,86.7,8,68.2,94.4,Advanced Topics
2511,17.4,76.8,9,92,55.1,Advanced Topics
2512,17.7,97.3,6,89.5,63.5,Advanced Topics
2513,17.7,86.3,2,100,56.2,Advanced Topics
2514,13.7,77.8,4,86.9,57.9,Advanced Topics
2515,14.4,54.6,2,100,72.7,Intermediate Practice
2516,16.6,67.3,1,94.8,92.2,Intermediate Practice
2517,15.4,71.1,2,66.2,67.5,Advanced Topics
2518,3.9,80.4,9,85.3,85.9,Advanced Topics
2519,13.9,79.6,8,84.4,57.1,Advanced Topics
2520,10.7,72.5,8,84.1,84.6,Advanced Topics
2521,15.9,71.8,7,76.4,92.9,Advanced Topics
2522,29.9,80.8,6,93,86.3,Advanced Topics
2523,16.8,57.1,0,81.6,78.9,Intermediate Practice
2524,13.4,95.4,8,96.8,77.5,Advanced Topics
2525,19.6,39.3,9,95.3,56.6,Basic Concepts
2526,17.4,91.8,1,82.6,45.9,Advanced Topics
2527,17.1,69.3,5,78.9,78,Intermediate Practice
2528,18,85,9,79.4,56.2,Advanced Topics
2529,25.3,75.5,4,85.3,57.4,Advanced Topics
2530,9.3,75.2,5,88.2,45.7,Advanced Topics
2531,17.4,78.3,7,80.5,59.4,Advanced Topics
2532,10.4,82.1,7,80.9,84.3,Advanced Topics
2533,17.8,65.1,9,87.9,82.3,Intermediate Practice
2534,10.4,85.5,1,95.3,48.2,Advanced Topics
2535,12.9,53.7,6,87.4,53.5,Intermediate Practice
2536,13.5,69.9,1,84.7,41,Intermediate Practice
2537,19.9,82.5,0,87.4,73.5,Advanced Topics
2538,19.6,84.9,7,67,70.8,Advanced Topics
2539,8.8,76.9,8,82.7,72.1,Advanced Topics
2540,15.3,64.1,6,72.4,61.3,Intermediate Practice
2541,11.5,83.5,3,79.5,77.9,Advanced Topics
2542,8.7,60,6,75.9,63.6,Time Management & Practice
2543,13.9,96.3,3,75.7,82.4,Advanced Topics
2544,13.5,68.7,6,75.1,51.6,Intermediate Practice
2545,27.1,46.9,3,100,81,Basic Concepts
2546,17.2,52.1,8,84.4,74.5,Intermediate Practice
2547,8.1,70.7,4,97,77.9,Advanced Topics
2548,12.2,72.1,6,92.6,63.1,Advanced Topics
2549,20.1,99.5,7,91.9,94.3,Advanced Topics
2550,25.4,54.4,4,90.4,57.3,Intermediate Practice
2551,7.1,70.6,0,100,100,Advanced Topics
2552,5.6,54.1,3,89.3,74.7,Time Management & Practice
2553,24.4,62.6,2,67.2,85.2,Intermediate Practice
2554,16.9,95.3,6,83.3,89.8,Advanced Topics
2555,10.7,53,5,74.5,79.7,Intermediate Practice
2556,17.7,78.8,5,71,96.1,Advanced Topics
2557,1.8,75.9,1,89.3,82.2,Advanced Topics
2558,15,69.6,5,64.3,79,Intermediate Practice
2559,16.6,77.8,7,86.1,75.1,Advanced Topics
2560,19.6,52.6,4,68.5,73.8,Intermediate Practice
2561,9.9,94.8,8,83.2,84.8,Advanced Topics
2562,15.4,98.9,1,92.8,55.5,Advanced Topics
2563,10.4,70.7,6,78.5,65.7,Advanced Topics
2564,16.3,100,5,73.2,75.6,Advanced Topics
2565,10.5,64,5,81.6,57.1,Intermediate Practice
2566,13,76,3,91.2,82.5,Advanced Topics
2567,10,91.5,9,88,64.8,Advanced Topics
2568,18.3,63.1,8,84.3,48.8,Intermediate Practice
2569,19.3,49.3,5,76.6,58.9,Basic Concepts
2570,13.8,45.8,7,80.9,82.4,Basic Concepts
2571,15.2,100,7,91.9,52.4,Advanced Topics
2572,7.8,62.1,3,83.7,53.6,Time Management & Practice
2573,13.5,67.2,4,87.4,75.8,Intermediate Practice
2574,14.7,53.3,1,81.4,48.2,Intermediate Practice
2575,28.1,84.2,3,73.7,76.5,Advanced Topics
2576,9.4,58.3,5,100,37.1,Time Management & Practice
2577,22.3,62.6,1,92.8,75.1,Intermediate Practice
2578,20,74.5,1,87.8,66.6,Advanced Topics
2579,16.4,54,9,83.4,92.5,Intermediate Practice
2580,23.8,67.3,6,99.2,38.8,Intermediate Practice
2581,16.9,91,9,77,58.3,Advanced Topics
2582,16.9,76.4,4,91.7,75.8,Advanced Topics
2583,14.7,72,2,85.4,67.3,Advanced Topics
2584,21.1,73.2,2,82.4,60.5,Advanced Topics
2585,20.5,64.2,6,82.2,41.5,Intermediate Practice
2586,11.9,99.9,2,98.1,74.3,Advanced Topics
2587,8.4,57.8,9,66.3,100,Time Management & Practice
2588,14,73.2,4,100,56.9,Advanced Topics
2589,11,71.7,1,95.2,69.1,Advanced Topics
2590,14.7,85.1,2,85.4,73.3,Advanced Topics
2591,21.2,86.5,3,82.6,62,Advanced Topics
2592,12.7,69.5,0,84.9,67.4,Intermediate Practice
2593,14.8,74.4,3,89.8,52.5,Advanced Topics
2594,15.3,74.9,3,97.3,47.2,Advanced Topics
2595,19.2,35.9,2,89.8,90.5,Basic Concepts
2596,3.8,46.2,9,87.8,66.2,Basic Concepts
2597,12,60.9,8,85.3,76.2,Intermediate Practice
2598,16.1,61.6,2,66.6,74.6,Intermediate Practice
2599,21,52,1,68.4,53.7,Intermediate Practice
2600,12.5,81.2,6,96,48.4,Advanced Topics
2601,5.6,70,8,89.7,58.7,Advanced Topics
2602,18.1,66.8,5,93.3,71.3,Intermediate Practice
2603,11.8,51.2,4,93.1,55.6,Intermediate Practice
2604,9.1,69.3,0,91.1,61,Time Management & Practice
2605,11.9,30.6,2,93.7,37.9,Basic Concepts
2606,14.1,67.6,8,76.4,67.4,Intermediate Practice
2607,12,70.9,7,90.7,69.1,Advanced Topics
2608,4,73.6,8,89.5,67.9,Advanced Topics
2609,19.5,46.5,7,98.2,52.9,Basic Concepts
2610,21.4,73.4,0,50,53.2,Advanced Topics
2611,18.3,54.4,7,100,51.6,Intermediate Practice
2612,9.3,57.8,7,93.5,61.6,Time Management & Practice
2613,14,80.8,4,87.6,57.3,Advanced Topics
2614,15,100,5,75.5,89.2,Advanced Topics
2615,18,70.8,1,82.1,95.1,Advanced Topics
2616,18.3,57.7,0,88.5,81.6,Intermediate Practice
2617,11.3,72.8,7,100,69.5,Advanced Topics
2618,15.4,84.1,6,100,63.2,Advanced Topics
2619,17.3,79.3,3,91.2,55.4,Advanced Topics
2620,22.3,100,6,92.3,69,Advanced Topics
2621,18.5,59.3,1,87,65.6,Intermediate Practice
2622,18.9,73.8,1,74.8,52.5,Advanced Topics
2623,15.4,93.2,6,77.2,56.1,Advanced Topics
2624,22.1,92.3,2,94.6,38.8,Advanced Topics
2625,17,40.7,5,92.1,52.8,Basic Concepts
2626,10.7,69.9,6,78.8,74,Intermediate Practice
2627,22,92.3,6,77.4,83.5,Advanced Topics
2628,18.5,100,9,91.5,75.9,Advanced Topics
2629,12.8,80.6,3,82,60.5,Advanced Topics
2630,12.6,64.5,2,77.1,43,Intermediate Practice
2631,16.5,54.9,0,88.4,50.1,Intermediate Practice
2632,17.3,100,6,91.8,74.6,Advanced Topics
2633,16,80.9,8,74,74.1,Advanced Topics
2634,16.6,57.3,0,81.6,58.2,Intermediate Practice
2635,23.5,67,4,92.3,61.9,Intermediate Practice
2636,20.4,74.7,3,100,96.9,Advanced Topics
2637,16,78.2,9,87.9,41.6,Advanced Topics
2638,19.7,56.5,1,79.9,68.2,Intermediate Practice
2639,9.8,60.8,6,76.7,49.8,Time Management & Practice
2640,17,45.2,6,85,50.7,Basic Concepts
2641,24,85.6,7,84.6,74.3,Advanced Topics
2642,13.9,64.9,2,63.4,93.5,Intermediate Practice
2643,10.8,77,5,68,77.3,Advanced Topics
2644,11.7,91.3,3,62.2,91.4,Advanced Topics
2645,9.6,73.3,2,85.1,39,Advanced Topics
2646,11.1,68.3,3,95.5,75.4,Intermediate Practice
2647,13.1,72.9,0,94.1,81.6,Advanced Topics
2648,8,70.9,6,72.2,64.3,Advanced Topics
2649,15.1,88.7,6,75.8,80.5,Advanced Topics
2650,19.5,74.7,6,72,100,Advanced Topics
2651,10.5,61.8,1,85.9,70.3,Intermediate Practice
2652,22.6,85.7,0,94.3,62.1,Advanced Topics
2653,17.6,88.5,8,96.4,85,Advanced Topics
2654,20.2,49.9,1,78.2,84.6,Basic Concepts
2655,11.7,93,4,86.1,64,Advanced Topics
2656,19.3,75.5,4,77.6,59.7,Advanced Topics
2657,9.5,74.2,7,85.2,84.6,Advanced Topics
2658,19.5,85.1,0,78.7,61.5,Advanced Topics
2659,15.9,61.5,6,79.4,67.2,Intermediate Practice
2660,17.8,84.3,2,71.8,72.6,Advanced Topics
2661,9.1,64.3,1,54.9,65.2,Time Management & Practice
2662,10.5,47.9,4,81.2,68.3,Basic Concepts
2663,18,55,3,88.4,55.6,Intermediate Practice
2664,10.3,78.5,8,87,76.4,Advanced Topics
2665,17.3,55.8,0,70,61.9,Intermediate Practice
2666,8.2,94.2,2,62.4,91,Advanced Topics
2667,19.2,87.8,2,84.2,69.8,Advanced Topics
2668,8.8,90,3,73.4,83.4,Advanced Topics
2669,17.8,71.9,6,80.5,77.4,Advanced Topics
2670,18.1,73.9,4,73.3,84.8,Advanced Topics
2671,11.5,52.1,9,69.4,61.3,Intermediate Practice
2672,17.9,84.9,5,96.7,50.2,Advanced Topics
2673,16.3,75.7,2,89.6,54.5,Advanced Topics
2674,12.3,78.5,4,84.8,53.4,Advanced Topics
2675,10,95.3,1,93.9,55.7,Advanced Topics
2676,5.2,60.9,3,85.2,50.4,Time Management & Practice
2677,16.7,68.1,2,81.2,66.3,Intermediate Practice
2678,7.2,74.9,2,100,79.2,Advanced Topics
2679,15.5,56,3,100,48.6,Intermediate Practice
2680,13.7,67.2,7,74.9,57.9,Intermediate Practice
2681,18.4,77.4,7,87.7,83.3,Advanced Topics
2682,13.5,65.1,0,86.4,44.8,Intermediate Practice
2683,13.4,89.6,4,93.6,68,Advanced Topics
2684,18.7,47.3,1,74.4,76.8,Basic Concepts
2685,16.7,86.8,9,97.8,99.3,Advanced Topics
2686,16.6,79.9,5,75.8,32.6,Advanced Topics
2687,17.3,61.5,2,83.7,48.2,Intermediate Practice
2688,7.3,56.1,9,73.6,72.4,Time Management & Practice
2689,18.8,38.8,9,79.7,62.4,Basic Concepts
2690,18.1,58.1,8,74.7,26.9,Intermediate Practice
2691,9.9,85.7,8,75.5,61.3,Advanced Topics
2692,13.8,69.2,7,92.7,54.4,Intermediate Practice
2693,14.8,87.4,1,84.6,43.3,Advanced Topics
2694,14.3,60.7,1,100,62.3,Intermediate Practice
2695,16.7,80.6,1,82.8,48.1,Advanced Topics
2696,22.2,59.2,4,77.1,55,Intermediate Practice
2697,20.4,55.5,9,79.8,87.5,Intermediate Practice
2698,8.4,68.4,8,83.5,96,Time Management & Practice
2699,18.1,60,6,88.1,54.5,Intermediate Practice
2700,21.6,46.9,6,81,69.7,Basic Concepts
2701,16.9,67.3,2,72.1,77.3,Intermediate Practice
2702,20.5,71.6,2,94.3,55.3,Advanced Topics
2703,25.1,89,9,97.2,53.5,Advanced Topics
2704,20.1,84.1,2,80.7,77.5,Advanced Topics
2705,16.2,88.3,0,99.9,64.6,Advanced Topics
2706,20.2,80.8,7,80,64.8,Advanced Topics
2707,15.7,75,1,95.4,50.5,Advanced Topics
2708,15.1,51.6,6,75.5,52.7,Intermediate Practice
2709,13.2,72.2,8,100,68.9,Advanced Topics
2710,22.8,79,1,67.4,61.5,Advanced Topics
2711,10.9,91.9,0,74,69.4,Advanced Topics
2712,22.7,80.3,4,100,82.1,Advanced Topics
2713,17.5,88.6,9,67.9,70.2,Advanced Topics
2714,8,54.5,4,82.5,58.2,Time Management & Practice
2715,16.8,65.1,0,79.7,81.6,Intermediate Practice
2716,4.5,76.4,8,85.3,67.5,Advanced Topics
2717,18.1,87.4,2,87.5,87.7,Advanced Topics
2718,19.4,67.8,1,82.6,57.3,Intermediate Practice
2719,12,68.8,6,92.4,66.3,Intermediate Practice
2720,15.6,80.3,4,99.1,62.9,Advanced Topics
2721,24.8,53.1,3,79.2,69.6,Intermediate Practice
2722,12.5,94.1,3,67.1,71.5,Advanced Topics
2723,9.7,56.8,8,78.3,67.9,Time Management & Practice
2724,22.4,41.2,8,88,80.1,Basic Concepts
2725,24.8,70.2,0,86.6,74.1,Advanced Topics
2726,15,95.5,9,93.8,100,Advanced Topics
2727,20.1,78.8,6,100,100,Advanced Topics
2728,21.7,81.3,7,87.1,57.4,Advanced Topics
2729,11.3,70.6,4,80.9,60.1,Advanced Topics
2730,12.6,67.7,6,77.7,48.7,Intermediate Practice
2731,21.2,46.8,7,83.1,92.2,Basic Concepts
2732,23.4,36.1,7,93.5,61.4,Basic Concepts
2733,17.8,72.9,8,79,71.8,Advanced Topics
2734,10.6,89.7,4,91,49.9,Advanced Topics
2735,24.9,75.2,1,74.2,69.8,Advanced Topics
2736,12.3,79.4,5,84.8,41.5,Advanced Topics
2737,13.3,93.8,0,69.5,85.9,Advanced Topics
2738,16.7,74.9,9,79.3,95.5,Advanced Topics
2739,22.8,68.2,5,99.8,78.5,Intermediate Practice
2740,19.3,57.7,2,87.6,53.8,Intermediate Practice
2741,17.1,100,2,83.7,76.3,Advanced Topics
2742,17.3,77.9,6,87.7,71,Advanced Topics
2743,15.2,55.8,3,90.1,88.8,Intermediate Practice
2744,17.8,52.4,4,88.2,80.7,Intermediate Practice
2745,2.4,88.8,5,87.3,51.9,Advanced Topics
2746,13.5,54.4,9,75,85.4,Intermediate Practice
2747,16.2,97.8,5,70.2,66.8,Advanced Topics
2748,9.2,28.7,1,92.3,87.7,Basic Concepts
2749,16.9,91.3,2,71.9,44.5,Advanced Topics
2750,14,77.3,0,88.7,75.9,Advanced Topics
2751,23.8,71.8,2,95.1,63.6,Advanced Topics
2752,22.9,67.4,7,74.7,69.4,Intermediate Practice
2753,12.7,98.4,3,78.4,57.8,Advanced Topics
2754,14.2,80.6,1,83.5,75.5,Advanced Topics
2755,14.6,56.5,3,76.1,54,Intermediate Practice
2756,12.7,44.2,6,76,44.5,Basic Concepts
2757,16,72.7,8,79.7,56.7,Advanced Topics
2758,11.2,70,4,77.3,56.9,Advanced Topics
2759,9.3,47.2,4,89.9,63.3,Basic Concepts
2760,18.1,69.2,4,85.8,78.7,Intermediate Practice
2761,18.1,61.4,9,70.5,54,Intermediate Practice
2762,11,70.1,8,100,79.8,Advanced Topics
2763,19.5,80.9,6,82,76.7,Advanced Topics
2764,11.8,92.4,2,84.3,83.1,Advanced Topics
2765,16.3,83.6,1,79.8,62.5,Advanced Topics
2766,19.1,59.2,8,84.9,91.4,Intermediate Practice
2767,14.8,75.5,2,75.9,63.5,Advanced Topics
2768,17.3,70.9,7,71.5,81.5,Advanced Topics
2769,12.4,50,3,81.7,93.1,Intermediate Practice
2770,14,76,4,99.3,86.1,Advanced Topics
2771,14,97.9,7,90.6,66.3,Advanced Topics
2772,11.3,70.5,4,97.2,51.4,Advanced Topics
2773,14.1,46.1,9,79.2,53.6,Basic Concepts
2774,7.3,70.5,1,76.8,53.2,Advanced Topics
2775,12.5,51.8,5,79.8,57.7,Intermediate Practice
2776,13.6,83,6,90.1,67.5,Advanced Topics
2777,13.7,77.9,0,95.2,77.7,Advanced Topics
2778,13.8,67.4,9,82.2,79.7,Intermediate Practice
2779,14.7,65,8,71,82.4,Intermediate Practice
2780,17.4,66.8,5,94.7,81.5,Intermediate Practice
2781,19.4,70.1,3,96.1,66.2,Advanced Topics
2782,11.8,58.4,1,90.1,77.8,Intermediate Practice
2783,9,49.2,8,99.3,64,Basic Concepts
2784,9.8,87.1,5,65.8,72.6,Advanced Topics
2785,12.6,64.2,8,75.8,64.6,Intermediate Practice
2786,13.2,72.5,1,85.2,67.7,Advanced Topics
2787,11.2,74.3,4,74.4,62.8,Advanced Topics
2788,8.5,74.8,5,94.2,41.3,Advanced Topics
2789,12.7,52.4,4,73.2,64,Intermediate Practice
2790,15.9,44.9,5,98.4,77,Basic Concepts
2791,18,61.2,2,76.5,82.2,Intermediate Practice
2792,12.2,75.9,8,99,75.4,Advanced Topics
2793,12.9,59.1,1,76.8,53.7,Intermediate Practice
2794,10.4,64.7,1,61.4,60.5,Intermediate Practice
2795,14.8,100,4,86.4,43.9,Advanced Topics
2796,10.8,42.3,9,91.8,78.2,Basic Concepts
2797,17.9,58.7,2,74.6,54.6,Intermediate Practice
2798,6.1,98.4,1,100,73.6,Advanced Topics
2799,13.2,69.3,5,98.7,74.7,Intermediate Practice
2800,16.5,59.4,5,83.2,54.7,Intermediate Practice
2801,15.9,87.5,6,88.2,72.1,Advanced Topics
2802,28.5,70.8,3,85.2,95.2,Advanced Topics
2803,16.7,64.8,7,91.6,62.7,Intermediate Practice
